Source	Category	Japanese	Romanization	English	File
Main Menu	Standard	「母港」	Bokō	Home Port	101r.ogg
Docks / Shipyard	Standard	「補給等選択時」	Hokyū-tō Sentakuji	Upon Selecting Resupply	Sound_bgm_supply.ogg
Refurbish	Standard	「鎮守府の午後」	Chinjufu no gogo	Afternoon in the Naval Base	104a.ogg
Gallery / Library	Standard	「邂逅」	Kaikō	Chance Meeting	123d.ogg
Arsenal	Standard	「明石の工廠」	Akashi no kōshō	Akashi's Armory	206i.ogg
Marriage	Standard	「ケッコンカッコカリ」	Kekkon-kakkokari	Marriage (tentative)	Sound_bgm_weddingmain.ogg
Sortie / PvP / Expedition	Battle	「海原越えて」	Unabara koete	Across The Sea	103v.ogg
Battle	Battle	「砲雷撃戦、始め！」	Hōraigeki-sen, hajime!	Cannons and Torpedoes, Fire!	Sound_b_bgm_1.ogg
Night Battle	Battle	「我、夜戦に突入す！」	Ware, yasen ni totsunyū su!	Rush into the Night Battle!	Sound_b_bgm_2.ogg
Extra Operation 1-5	Standard	「海上護衛戦」	Kaijō goei-sen	Maritime Escort Warfare	Sound_b_bgm_7.ogg
Extra Operation 1-6	Standard	「新編「海上護衛隊抜錨！」」	Shinpen `Kaijō goeitai' batsubyō!	New 'Maritime Escort Fleet' sail out!	Sound_b_bgm_37.ogg
Extra Operation 2-5	Standard	「第五戦隊の出撃」	Dai-go sentai no shutsugeki	Sortie of the Fifth Squad	Sound_b_bgm_11.ogg
Extra Operation 3-5	Standard	「士魂の護り」	Shikon no mamori	Protection of the Warrior Spirit¹	Sound_b_bgm_19.ogg
Extra Operation Boss/Night Node 4-5	Standard	「深海への誘い」	Shinkai e no sasoi	Invitation to the Abyss	Sound_b_bgm_40.ogg
Sortie 5-1	Standard	「華の二水戦」	Hana no Nisuisen	The Splendid 2nd Torpedo Squadron	Sound_b_bgm_13.ogg
Boss 5-1	Standard	「艦隊決戦！(南方海域強襲偵察!)」	Kantai kessen! (Nanpō kai'iki kyōshū teisatsu!)	Fleet Clash! (Southern Ocean Offensive Surveillance!)	Sound_b_bgm_3.ogg
Sortie 5-2	Standard	「飛龍の反撃」	Hiryū no hangeki	Hiryū's counterattack	Sound_b_bgm_12.ogg
Sortie 5-4	Standard	「二水戦の航跡」	Nisuisen no kōseki	Wake of the Second Torpedo Squadron	Sound_b_bgm_4.ogg
Boss 5-4	Standard	「次発装填、再突入!」	jihatsu sōten, sai totsunyū!	Next Round Loaded, Re-engage!	Sound_b_bgm_5.ogg
